date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:49:24	236948/236948	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202024%2006:49:24%20GMT	https://www.belgiantrain.be/nl	C:/Kenneth/NMBS/NMBS/www.belgiantrain.be/nl.html	(from )
08:49:24	118/118	---M-Z	200	added ('OK')	text/plain	etag:%22073802f158cda1:0%22	https://www.belgiantrain.be/robots.txt		(from )
08:49:24	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2018%20Jul%202024%2006:49:24%20GMT	http://www.w3.org/1999/xhtml	C:/Kenneth/NMBS/NMBS/www.w3.org/1999/xhtml.1.delayed	(from https://www.belgiantrain.be/nl)
08:49:24	238/238	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2018%20Jul%202024%2006:49:24%20GMT	https://www.w3.org/1999/xhtml	C:/Kenneth/NMBS/NMBS/www.w3.org/1999/xhtml.2.delayed	(from https://www.belgiantrain.be/nl)
08:49:25	2725/2725	---M-Z	200	added ('OK')	text/html	date:Wed,%2007%20Sep%202016%2014:16:54%20GMT	https://www.w3.org/1999/xhtml/	C:/Kenneth/NMBS/NMBS/www.w3.org/1999/xhtml/index.html	(from https://www.belgiantrain.be/nl)
08:49:25	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2018%20Jul%202024%2006:49:25%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Kenneth/NMBS/NMBS/www.googletagmanager.com/gtm.35445.delayed	(from https://www.belgiantrain.be/nl)
08:49:25	37616/37616	---M-Z	200	added ('OK')	application/font-woff	etag:W/%220eedf595bbeda1:0%22	https://www.belgiantrain.be/content/public/fonts/CircularStd-Book.woff	C:/Kenneth/NMBS/NMBS/www.belgiantrain.be/content/public/fonts/CircularStd-Book.woff	(from https://www.belgiantrain.be/nl)
08:49:25	28476/28476	---M-Z	200	added ('OK')	application/font-woff	etag:W/%220eedf595bbeda1:0%22	https://www.belgiantrain.be/content/public/fonts/CircularStd-Bold.woff2	C:/Kenneth/NMBS/NMBS/www.belgiantrain.be/content/public/fonts/CircularStd-Bold.woff2	(from https://www.belgiantrain.be/nl)
08:49:26	28176/28176	---M-Z	200	added ('OK')	application/font-woff	etag:W/%220eedf595bbeda1:0%22	https://www.belgiantrain.be/content/public/fonts/CircularStd-Medium.woff2	C:/Kenneth/NMBS/NMBS/www.belgiantrain.be/content/public/fonts/CircularStd-Medium.woff2	(from https://www.belgiantrain.be/nl)
08:49:26	24860/24860	---M-Z	200	added ('OK')	application/font-woff	etag:W/%220eedf595bbeda1:0%22	https://www.belgiantrain.be/content/public/fonts/CircularStd-Book.woff2	C:/Kenneth/NMBS/NMBS/www.belgiantrain.be/content/public/fonts/CircularStd-Book.woff2	(from https://www.belgiantrain.be/nl)
08:49:26	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2018%20Jul%202024%2006:49:26%20GMT	https://www.googletagmanager.com/	C:/Kenneth/NMBS/NMBS/www.googletagmanager.com/index.html	(from https://www.belgiantrain.be/nl)
08:49:26	2534/2534	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Nov%202022%2022:35:11%20GMT	https://www.belgiantrain.be/-/media/feature/metadata/apple-touch/apple-touch-icon-72x72.ashx	C:/Kenneth/NMBS/NMBS/www.belgiantrain.be/-/media/feature/metadata/apple-touch/apple-touch-icon-72x72.png	(from https://www.belgiantrain.be/nl)
08:49:26	2534/2534	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Nov%202022%2022:35:12%20GMT	https://www.belgiantrain.be/-/media/feature/metadata/apple-touch/apple-touch-icon-72x72-precomposed.ashx	C:/Kenneth/NMBS/NMBS/www.belgiantrain.be/-/media/feature/metadata/apple-touch/apple-touch-icon-72x72-precomposed.png	(from https://www.belgiantrain.be/nl)
08:49:27	589072/589072	---M-Z	200	added ('OK')	text/css	etag:%2206270e3d5ceda1:0%22	https://www.belgiantrain.be/content/public/css/main.css?v=638557861000000000	C:/Kenneth/NMBS/NMBS/www.belgiantrain.be/content/public/css/main1dd5.css	(from https://www.belgiantrain.be/nl)
08:49:27	266/266	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202024%2006:49:27%20GMT	https://www.googletagmanager.com/ns.html?id=GTM-K5K4JMB	C:/Kenneth/NMBS/NMBS/www.googletagmanager.com/ns641a.html	(from https://www.belgiantrain.be/nl)
08:49:27	230/230	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2018%20Jul%202024%2006:49:27%20GMT	https://www.google-analytics.com/	C:/Kenneth/NMBS/NMBS/www.google-analytics.com/index.html	(from https://www.belgiantrain.be/nl)
08:49:27	17/17	---M--	301	error ('Moved%20Permanently')	text/plain	date:Thu,%2018%20Jul%202024%2006:49:27%20GMT	https://static.hotjar.com/	C:/Kenneth/NMBS/NMBS/static.hotjar.com/index.html	(from https://www.belgiantrain.be/nl)
08:49:27	243/243	---M-Z	403	error ('Forbidden')	application/xml	date:Thu,%2018%20Jul%202024%2006:49:27%20GMT	https://script.hotjar.com/	C:/Kenneth/NMBS/NMBS/script.hotjar.com/index.html	(from https://www.belgiantrain.be/nl)
